Confirmed.
Coneixements de Marratxí | D'acord amb el Tema 1 del document oficial de Coneixements de Marratxí, en quin any es va constituir la Mancomunitat del Raiguer com a entitat supramunicipal i quants municipis la integren actualment? | L'any 1981, i acull actualment a 11 municipis situats als voltants de la Serra de Tramuntana. | L'any 1993, i acull actualment a 15 municipis de la part central de Mallorca. | L'any 1972, i acull actualment a 9 municipis integrats en el Pla de Palma. | L'any 1987, i acull actualment a 12 municipis adscrits a la Conca d'Alcúdia. | A | El text legal literal de l'apartat 1.1.1 (Marratxí a la Mancomunitat del Raiguer) assenyala: "La terme municipal de Marratxí pertany a la Mancomunitat del Raiguer, constituïda com entitat supramunicipal a l'any 1981. La qual acull a 11 municipis situats als voltants de la Serra de Tramuntana com són Marratxí, Santa Maria del Camí, Alaró, Consell, Binissalem, Lloseta, Mancor de la Vall, Inca, Selva, Campanet i Búger..."
Coneixements de Marratxí | Segons les dades geogràfiques especificades a l'apartat 1.1.2 del document, quina és la superfície exacta del terme municipal de Marratxí i quin número ocupa en extensió a tota l'illa de Mallorca? | La seva superfície és de 54,2 Km² (5.427 hectàrees), i és el núm. 22 en superfície de tota l'illa de Mallorca. | La seva superfície és de 71 Km² (7.100 hectàrees), i és el núm. 15 en superfície de tota l'illa de Mallorca. | La seva superfície és de 36,3 Km² (3.638 hectàrees), i és el núm. 30 en superfície de tota l'illa de Mallorca. | La seva superfície es de 10,3 Km² (1.030 hectàrees), i és el núm. 40 en superfície de tota l'illa de Mallorca. | A | L'apartat 1.1.2 (Extensió i llindes amb altres municipis) exposa textualment: "Marratxí es troba situat la part occidental de Bunyola. La seva superfície és de 54,2 Km² (5.427 hectàrees), és el núm. 22 en superfície de tota l'illa de Mallorca."
Coneixements de Marratxí | Respecte a la geografia física i relleu del municipi detallats al document, quins són els punts altimètrics que marquen l'elevació màxima i la part més baixa de Marratxí? | Una elevació màxima de 233 metres a dalt de Can Parrisco i una mínima de 21 metres a El Pinaret (Es Pont d'Inca). | Una elevació màxima de 413 metres a dalt del salt des Freu i una mínima de 123 metres a Sant Marçal. | Una elevació màxima de 176 metres a dalt de Puig Blanc i una mínima de 50 metres a sa Tanca de Son Macià. | Una elevació màxima de 250 metres a dalt de Son Pou i una mínima de 40 metres a l'àrea de Son Sementer. | A | L'apartat 2.1 (Trets característics del medi físic) detalla: "Marratxí és un terme de relleus suaus i poc accidentat amb una elevació màxima, sobre el nivell de la mar, de 233 metres a dalt de Can Parrisco que contrasten amb els 21 metres sobre el nivell del mar de El Pinaret (Es Pont d'Inca) la part més baixa del municipi."
Coneixements de Marratxí | A tenor de l'apartat 2.1.1 relatiu a la climatologia mediterrània de Marratxí, quines característiques es recullen de manera literal sobre les precipitacions del municipi? | Màximes precipitacions a la tardor, especialment l'octubre, amb una precipitació anual que no supera els 500 mm i on de setembre a desembre es comptabilitzen el 52% de les precipitacions anuals. | Màximes precipitacions a la primavera, especialment el maig, amb una precipitació anual superior als 700 mm distribuïda uniformement per l'àrea metropolitana. | Precipitacions regulars tot l'any sense períodes eixuts mensuals, amb una mitjana anual de 104 litres per metre quadrat controlats per l'estació de Son Bonet. | Precipitacions torrencials exclusives de l'hivern que no superen el 20% anual concentrat a la zona costanera que llinda amb Palma. | A | El document transcriu a l'apartat 2.1.1 (Climatologia. Clima mediterrani): "Marratxí te els trets característics del clima mediterrani: Estius eixuts. Màximes precipitacions a la tardor, especialment l'octubre (setembre, octubre i novembre). De setembre a desembre es comptabilitzen el 52% de les precipitacions anuals. Un clima acusat per la sequedat, amb una precipitació anual que no supera els 500 mm i una temperatura mitjana anual de 17° C."
Coneixements de Marratxí | Segons recull l'apartat 2.1.2 de la geomorfologia municipal, quin esdeveniment sísmic històric tingué el seu epicentre a l'església de Sant Marçal causant grans danys materials a la seva façana? | El terratrèmol del maig de 1851. | El terratrèmol de l'octubre de 1966. | El moviment sísmic del juliol de 1988. | La torrentada cataclísmica de l'agost de 1994. | A | El text original de l'apartat 2.1.2 especifica de manera literal: "Els moviments tectònics que l'adreçaren encara estan actius hi ha hagut moviments sísmics que històricament han tingut l'epicentre a la zona, especialment el del maig de 1851 que tingué l'epicentre a l'església de Sant Marçal causant grans d'anys materials a la façana al igual que la façana de la Seu de Palma."
Coneixements de Marratxí | A l'apartat 2.1.3 del document, com es descriu la circulació de les aigües superficials i quin recorregut realitza el torrent de Coanegra pel terme de Marratxí? | Torrents amb escorrentia esporàdica on només corre l'aigua en períodes de pluges intenses, i el torrent de Coanegra travessa el terme en una diagonal quasi perfecte de recorregut quasi paral·lel a la carretera Palma - Inca - Alcúdia. | Torrents de flux regular i continu alimentats per fonts de peu de serra que desemboquen directament a la Conca d'Alcúdia. | Canals i xaragalls d'escorrentia perenne que s'uneixen exclusivament al torrent de Biniali per acabar a ses clotes de Son Sureda. | Sèquies de regadiu artificial gestionades de forma unificada per la Mancomunitat del Raiguer amb un cabal fix de 500 mm. | A | L'apartat 2.1.3 (Hidrografia. Torrents i sèquies) constata textualmente: "Analitzarem la circulació superficial de les aigües: els torrents als seu pas per Marratxí, torrents amb escorrentia esporàdica, només corre l'aigua en períodes de pluges intenses... El torrent de Coanegra travessa el terme en una diagonal quasi perfecte i el seu recorregut es quasi paral·lel a la carretera Palma - Inca - Alcúdia."
Coneixements de Marratxí | D'acord amb l'apartat 2.1.5 (Catàleg dels arbres singulars al municipi), quin és l'únic arbre de Marratxí inclòs originàriament en el Catàleg de la Llei de protecció dels arbres singulars de les Illes Balears de 20 de març de 1991? | El Pi d'es Caülls (o Pi d'es Caïlls / Pi Gros d'es Caülls). | El Pi Gros de Son Sales. | L'Alzina del Jardí d'es Caülls. | El Garrover de Son Verí. | A | L'apartat 2.1.5 dictamina literalment: "El dia 20 de març de 1991 el Parlament va aprovar la Llei de protecció dels arbres singulars de les Illes Balears. Del Catàleg hi ha un arbre singular de Marratxí el Pi d'es Caïlls. Fitxa de Catalogació: PI DES CAÜLLS Espècie: Pi blanc, Pinus halepensis Data de catalogació: 17/01/2001."
Coneixements de Marratxí | Dins l'apartat de geografia humana (apartat 4.1), quina font fiscal de caràcter tributari septennal s'utilitzava a l'època medieval per comptabilitzar el nombre de llar o "focs" i fer una aproximació a la població de Marratxí? | El morabatí. | El cens d'Aranda. | El nomenclàtor de Floridablanca. | El registre del Concili de Trento. | A | L'apartat 4.1 (La població. Fonts demogràfiques) exposa: "El morabatí fou un exemple de font fiscal utilitzada per xifrar la població sobretot a l'època medieval... El morabatí era un tribut septennal, es pagava cada 7 anys. Estaven obligats a pagar-ho tots els veïnats que posseïen un patrimoni de 10 lliures o superior, també s'anomenava 'fogatge' o 'focs'. El morabatí ha servit pels estudiosos com a font per recontar el nombre de cases que hi havia i una aproximació al nombre de la població..."
Coneixements de Marratxí | Segons s'explica a l'apartat 4.2 sobre la dispersió de la població, quina denominació rep el model de distribució del poblament de Marratxí a causa de la concentració en diferents nuclis i urbanitzacions? | Un nucli polinuclear. | Una aglomeració monocèntrica. | Un llogaret concentrat unificat. | Una baronia de població lineal o en cremallera. | A | El text de l'apartat 4.2 (La dispersió de la població al terme municipal) afirma textualment: "Marratxí, des del punt de vista de la distribució del poblament, es caracteritza per ser un nucli polinuclear, amb la població concentrada a diferents nuclis, la qual cosa contribueix a la ruptura d'un concepte unitari del terme com a municipi i com a comunitat."
Coneixements de Marratxí | Conforme a les dades d'evolució demogràfica recollides a l'apartat 4.2, a partir de quins dos nuclis històrics nous es detecta un increment de població considerable durant la segona meitat del segle XIX? | Es Pla de na Tesa i es Pont d'Inca. | Pòrtol i sa Cabaneta. | Marratxinet i Son Cos. | Can Carbonell i Cas Capità. | A | L'apartat 4.2 recull: "Els nuclis de població a Marratxí en el segle XVIII es concentraven bàsicament a Pòrtol, Marratxí i sa Cabaneta. A la segona meitat del XIX, coincidint amb al formació d'es Pla de na Tesa i es Pont d'Inca es detecta un increment de població considerable, en el període 1840-1900 augmenta el nombre de 1563 a 3815 habitants."
Coneixements de Marratxí | Segons detalla el document oficial a l'apartat 4.5 (La indústria terrissera), a partir de quina època històrica apareix l'activitat terrissera a Marratxí i per quina matèria primera es va veure afavorida? | A partir del segle XVII, afavorida per la presència de la terra vermella dels clots de Pòrtol i l'argila blanca d'es Pou d'es Coll. | A partir de la dominació romana l'any 123 aC, afavorida pel marès de la Garriga de Son Caulelles. | A partir de l'època andalusina del segle X, afavorida pels dipòsits sedimentaris del torrent Gros. | A partir de la segona meitat del segle XIX, afavorida per les línies ferroviàries de la Farinera Balear. | A | L'apartat 4.5 especifica literalment: "A partir del segle XVII apareix a Marratxí l'activitat terrissera, afavorida per la presencia de la matèria primera que trobem amb la terra vermella dels clots de Pòrtol i l'argila blanca d'es Pou d'es Coll."
