Confirmed.
Coneixements de Marratxí | D'acord amb l'apartat 1.1.1 del document, quins serveis ofereix actualment la Mancomunitat del Raiguer als diferents municipis que la integren? | Ofereix serveis com la recollida selectiva de residus, la neteja i manteniment de camins, serveis d'ocupació, educació per a persones adultes, i serveis de caire social i comunitari. | Ofereix exclusivament la gestió de la xarxa d'aigua potable a domicili i el manteniment del clavegueram metropolità. | Ofereix la gestió informatitzada del padró continu d'habitants i l'expedició de certificats escolars o acadèmics públics. | Ofereix de manera única la direcció i coordinació de la Policia Local com a policia de proximitat a la Serra de Tramuntana. | A | El text original de l'apartat 1.1.1 (Marratxí a la Mancomunitat del Raiguer) detalla: "Actualment la Mancomunitat ofereix als diferents municipis serveis com la recollida selectiva de residus, la neteja i manteniment de camins, serveis d'ocupació, educació per a persones adultes, serveis de caire social i comunitari, entre d'altres."
Coneixements de Marratxí | A tenor de l'apartat 2.1 del document, quin percentatge del territori de Marratxí està ocupat per conreus de secà acompanyats d'arbres com ametllers, figueres i garrovers? | Quasi tres quartes parts del territori (71%). | Exactament el cinquanta-dos per cent del territori municipal. | Menys del dotze per cent de la superfície total rústica. | Un trenta per cent concentrat exclusivament al corredor del Segon Cinturó. | A | L'apartat 2.1 (Trets característics del medi físic) explicita literalment: "Quasi tres quartes parts del territori (71%) estan ocupades per conreus de secà acompanyats d'arbres (ametllers, figueres i garrovers) que ocupen les zones més planes, els fons i les pendents de les valls."
Coneixements de Marratxí | Segons s'exposa a l'apartat 2.1.1 relatiu a la climatologia, quines són les dues zones meteorològiques del terme municipal on es registra la menor i la major quantitat de pluja anual? | La zona més seca és l'àrea més baixa (Es Pla de Na Tesa i Es Pont d'Inca amb 400 mm) i la de més pluja és la que llinda amb Bunyola i Santa Maria (Son Sureda, sa Cabaneta, Marratxinet, Pòrtol amb 500 mm). | La zona més seca és Can Parrisco a causa del seu relleu i la de més pluja és la fondalada del Camp d'Inca per embassades d'aire fred. | La zona més seca és sa Vileta per la presència de pinars secs i la de més pluja és l'aeròdrom de Son Bonet per vents marítims. | Tot el terme municipal presenta un índex de pluja uniforme i homogeni de 724 mm certificat per l'observatori de sa Cabaneta. | A | L'apartat 2.1.1 (Climatologia. Clima mediterrani) detalla clarament: "La zona més seca és l'àrea més baixa, que llinda amb Palma, la zona de Es Pla de Na Tesa i Es Pont d'Inca (400 mm). En canvi la zona de més pluja és la que llinda amb Bunyola i Santa Maria: Son Sureda, sa Cabaneta, Marratxinet, Pòrtol (500 mm)."
Coneixements de Marratxí | Conforme a l'apartat 2.1.2, quina configuració de relleu central, adreçada per moviments tectònics que encara estan actius, es troba a la part central del terme municipal de Marratxí? | Una configuració anticlinar (l'anticlinal de Marratxí), els costats del qual són els turons de Son Sureda, es Caülls i Son Sales. | Una depressió de caràcter càrstic anomenada el salt des Freu o barranc de Coanegra. | Un relleu tabular protegit sota la figura de monument megalític de la Costa de Son Mas. | Una terrassa sedimentària quaternària d'origen al-luvial excavada pel torrent Gros de forma lineal. | A | El document detalla a l'apartat 2.1.2 (Geomorfologia): "...no obstant a la part central del terme es troba una configuració anticlinar, l'elevació es va produir per moviments recents, els costats d'aquestes anticlinar son els turons de Son Sureda, es Caülls i Son Sales, a més dels ressalts de relleus de sa Cabaneta i Pòrtol i la part central esventrada per l'acció dels torrents constitueix la depressió ocupada pel Camp d'Inca, Marratxinet i Son Cos..."
Coneixements de Marratxí | D'acord amb l'apartat 2.1.2 del document, quina conseqüència econòmica i industrial té el fet que la part central esventrada del municipi provingui d'una depressió rica en materials argilosos? | El subsòl conté importants dipòsits d'argila que definiran en el futur l'arrelament i la importància de l'indústria terrissera en el municipi. | Va propiciar l'obertura de grans pedreres d'extracció de marès per a la construcció del Segon Cinturó de Palma. | Va permetre el cultiu intensiu de cítrics de reguiu lligats al sector del Pla de Son Nebot. | Va impedir qualsevol tipus d'activitat de repoblament forestal o d'explotació de pastures comunals. | A | El text original de l'apartat 2.1.2 afirma textualment: "...la part central esventrada per l'acció dels torrents constitueix la depressió ocupada pel Camp d'Inca, Marratxinet i Son Cos (el subsòl d'aquesta àrea conté importants depòsits d'argila que definiran en el futur l'arrelament i la importància de l'industria terrissera en el municipi...)"
Coneixements de Marratxí | A tenor de la descripció hidrogràfica del document (apartat 2.1.3), a quina conca hidrogràfica pertany la major part de Marratxí i cap a quina branca aboca les seves aigües? | Pertany al vessant de Palma, a la Conca del Torrent Gros, i aboca aigües cap a la branca oriental coneguda com Torrent de ses Mates i Torrent de Coanegra a la capçalera. | Pertany íntegrament a la Conca d'Alcúdia, abocant cap als baixos de Santa Eugènia a través del torrent de Biniali. | Pertany al vessant de Tramuntana, drenant cap a la Zona Humida del Pla de Sant Jordi mitjançant torrentons supramunicipals. | Pertany a la Conca del torrent de Muro, acabant el seu recorregut de forma directa a s'Albufera d'Alcúdia. | A | L'apartat 2.1.3 (Hidrografia) especifica literalment: "Hidrològicament, Marratxí pertany al vessant de Palma, a la Conca del Torrent Gros i aboca aigües cap a la branca oriental d'aquest torrent conegut com Torrent de ses Mates i Torrent de Coanegra a la capçalera."
Coneixements de Marratxí | Segons es detalla a l'apartat 2.1.4, com és catalogada la vegetació de la Garriga de Son Caulelles (sa Cabaneta i Pòrtol) i amb quin altre espai geogràfic de Mallorca és comparable per la seva aridesa? | És una de les zones més àrides de Mallorca, comparable a la Marina de Llucmajor. | És un alzinar madur d'elevada humitat, comparable a la Vall de Coanegra. | És un pinar sec i tancat, comparable a la zona rústica de sa Vileta de Son Cos. | Constitueix una comunitat d'orquídies aquàtiques, comparable a la Zona Humida de Sant Jordi. | A | El text de l'apartat 2.1.4 (L'àrea de Son Caulelles) constata literalment: "Ubicada a la vessant nord de sa Cabaneta i Pòrtol, trobam la Garriga de son Caulelles, és una de les zones més àrides de Mallorca, comparable a la Marina de Llucmajor."
Coneixements de Marratxí | D'acord amb les fitxes de catalogació detallades a l'apartat 2.1.5, quines són les dimensions estructurals (perímetre, alçària i capçada) registrades per al "Pi d'es Caülls" declarat arbre singular? | Té un perímetre de tronc de 4 metres, una alçària total de 15 metres i un diàmetre de la capçada de 30 metres. | Té un perímetre de tronc de 26 metres, una alçària de 130 metres i un diàmetre de capçada de 4 metros. | Té un perímetre de 2 metros, una alçària de 31 metres i es ramifica en tres cimals a la zona de Son Verí. | Té un perímetre de 4 metros, una alçària total de 26 metres i es localitza a la carrera de les cases de Son Sales. | A | La fitxa de catalogació reproduïda textualmente a l'apartat 2.1.5 descriu: "PI DES CAÜLLS... Descripció: Té un perímetre de tronc de 4 metres, i a 3 metres d'alçària es ramifica en quatre branques primàries. L'alçària total és de 15 metres i el diàmetre de la capçada és de 30 metres."
Coneixements de Marratxí | A tenor de la fitxa descriptiva de l'apartat 2.1.5, quina marca o alteració física singular presenta la soca del "Pi d'es Caülls" d'acord amb la seva catalogació com a arbre singular? | Presenta una ferida típica de llamp al llarg de tota la soca, de més d'un pam d'ample, i continua un poc més amunt. | Presenta una incisió profunda feta de forma artificial durant la construcció de l'autopista d'Inca. | Mostra branques baixes que han estat tallades per obres de manteniment de la via del tren al Figueral. | Presenta un recobriment de vegetació ombròfila integrat per molses, líquens i estepa joana. | A | El document detalla literalment en la descripció del Pi d'es Caülls: "Presenta una ferida típica de llamp al llarg de tota la soca, de més d'un pam d'ample, i continua un poc més amunt. Dues imatges del Pi d'es Caülls."
Coneixements de Marratxí | Segons s'exposa a l'apartat 3 del Tema 1, quins dos espais del terme municipal de Marratxí es declaren com a Àrees Naturals d'Especial Interès (ANEI) en virtut de la Llei 1/1991 d'Espais Naturals de les Illes Balears? | Son Cos i la Garriga de Son Caulelles. | Can Parrisco i El Pinaret des Caülls. | Es Pla de Na Tesa i els voltants del torrent de Coanegra. | Son Sureda i sa Tanca de Son Macià. | A | El text de l'apartat 3 (Les Àrees Naturals d'Especial Interès) dictamina de forma clara i directa: "La llei 1/1991, de 30 de gener, d'espais Naturals i de Régim Urbanístic de les Àrees d'especial protecció de les Illes Balears... A Marratxí es declaren ANEI, Son Cos i la Garriga de Son Caulelles."
Coneixements de Marratxí | Conforme a l'apartat 4.1, des de quina data de referència anual es transforma el Padró municipal d'habitants d'Espanya en un padró continu de gestió informatitzada en lloc de renovar-se ex-novo cada cinc anys? | Des de l'1 de maig de 1996. | Des de la publicació del mapa de 1958 per Mascaró Pasarius. | Des de la declaració de Zona d'Interès Artesanal l'any 1991. | Des de la revisió de les Normes Subsidiàries de planificació de 1999. | A | L'apartat 4.1 (La població) recull textualment: "El Padró municipal d'habitants és un registre administratiu... Des de l'1 de maig de 1996, el Padró municipal d'Espanya es renovava ex-novo cada cinc anys. Des d'aleshores es transforma en padró continu, de gestió informatitzada i amb una revision, la data de referència de la qual és l'1 de gener de cada any."
