Confirmed.
Ley 7/1985 (LBRL) | De acuerdo con el artículo 89 de la Ley 7/1985, de 2 de abril, ¿qué clases de personal integran el personal al servicio de las entidades locales? | El personal al servicio de las entidades locales estará integrado por funcionarios de carrera, contratados en régimen de derecho laboral y personal eventual que desempeña puestos de confianza o asesoramiento especial. | El personal al servicio de las entidades locales estará integrado exclusivamente por funcionarios de carrera y funcionarios interinos de los Cuerpos Nacionales. | El personal al servicio de las entidades locales estará integrado por personal directivo estatutario, personal laboral temporal y altos comisionados locales. | El personal al servicio de las entidades locales estará integrado por funcionarios forales comunes, contratados administrativos de colaboración y personal eventual no retribuido. | A | El artículo 89 de la Ley 7/1985, de 2 de abril, determina de manera expresa: "El personal al servicio de las entidades locales estará integrado por funcionarios de carrera, contratados en régimen de derecho laboral y personal eventual que desempeña puestos de confianza o asesoramiento especial."
Ley 7/1985 (LBRL) | A tenor del artículo 90.1 de la Ley 7/1985, de 2 de abril, ¿qué instrumento aprueba anualmente cada Corporación local para comprender todos los puestos de trabajo reservados a funcionarios, personal laboral y eventual? | La plantilla, a través del Presupuesto. | La oferta pública de empleo, a través de la Junta de Gobierno Local. | La relación de puestos de trabajo, a través de ordenanza fiscal modificativa. | El plan de ordenación de recursos humanos, a través del Ministerio de Hacienda. | A | El artículo 90.1 de la Ley 7/1985, de 2 de abril, dispone textualmente en su primer párrafo: "Corresponde a cada Corporación local aprobar anualmente, a través del Presupuesto, la plantilla, que deberá comprender todos los puestos de trabajo reservados a funcionarios, personal laboral y eventual."
Ley 7/1985 (LBRL) | Según establece el artículo 90.1 de la Ley 7/1985, de 2 de abril, ¿a qué principios deben responder las plantillas y en función de qué límites generales deben establecerse? | Deberán responder a los principios de racionalidad, economía y eficiencia y establecerse de acuerdo con la ordenación general de la economía, sin que los gastos de personal puedan rebasar los límites que se fijen con carácter general. | Deberán responder a los principios de discrecionalidad y territorialidad, estableciéndose sin límites de gasto para garantizar la autonomía financiera local. | Deberán responder a los principios de estabilidad presupuestaria y uniformidad sectorial estricta, según las instrucciones del Consejo de Estado. | Deberán responder a los principios de proporcionalidad poblacional y subsidiariedad, sin vinculación con las directrices generales de la economía. | A | El artículo 90.1 de la Ley 7/1985, de 2 de abril, estipula en su segundo párrafo: "Las plantillas deberán responder a los principios de racionalidad, economía y eficiencia y establecerse de acuerdo con la ordenación general de la economía, sin que los gastos de personal puedan rebasar los límites que se fijen con carácter general."
Ley 7/1985 (LBRL) | Conforme al artículo 90.2 de la Ley 7/1985, de 2 de abril, ¿a qué Administración corresponde establecer las normas con arreglo a las cuales hayan de confeccionarse las relaciones de puestos de trabajo? | Corresponde al Estado. | Corresponde a la respectiva Comunidad Autónoma. | Corresponde al Pleno de cada Ayuntamiento de forma exclusiva. | Corresponde a la Diputación Provincial coordinadamente con el Instituto de Estudios de Administración Local. | A | El artículo 90.2 de la Ley 7/1985, de 2 de abril, indica literalmente en su segundo párrafo: "Corresponde al Estado establecer las normas con arreglo a las cuales hayan de confeccionarse las relaciones de puestos de trabajo, la descripción de puestos de trabajo tipo y las condiciones requeridas para su creación, así como las normas básicas de la carrera administrativa..."
Ley 7/1985 (LBRL) | De acuerdo con el artículo 90.3 de la Ley 7/1985, de 2 de abril, ¿qué efecto determinante tienen los datos inscritos en el Registro de personal de las Corporaciones locales? | Los datos inscritos en tal Registro determinarán las nóminas, a efectos de la debida justificación de todas las retribuciones. | Los datos inscritos determinarán el orden de prelación en los concursos de méritos generales de carácter estatal. | Los datos inscritos determinarán las cuotas obligatorias de aportación foral a los fondos de la MUNPAL. | Los datos inscritos determinarán los baremos mínimos exigibles en la oferta sectorial de empleo público. | A | El artículo 90.3 de la Ley 7/1985, de 2 de abril, regula: "Las Corporaciones locales constituirán Registros de personal, coordinados con los de las demás Administraciones públicas, según las normas aprobadas por el Gobierno. Los datos inscritos en tal Registro determinarán las nóminas, a efectos de la debida justificación de todas las retribuciones."
Ley 7/1985 (LBRL) | A tenor del artículo 91.2 de la Ley 7/1985, de 2 de abril, ¿a través de qué sistemas debe realizarse la selección de todo el personal, sea funcionario o laboral, garantizando los principios de igualdad, mérito y capacidad? | Mediante convocatoria pública y a través del sistema de concurso, oposición o concurso-oposición libre. | Mediante designación discrecional del Alcalde basada en sistemas de libre nombramiento de confianza. | Mediante bolsa de trabajo rotatoria regulada por las organizaciones empresariales de la provincia. | Mediante sistemas de cooptación técnica supervisados obligatoriamente por la Comisión Nacional de Administración Local. | A | El artículo 91.2 de la Ley 7/1985, de 2 de abril, consagra: "La selección de todo el personal, sea funcionario o laboral, debe realizarse de acuerdo con la oferta de empleo público, mediante convocatoria pública y a través del sistema de concurso, oposición o concurso-oposición libre en los que se garanticen, en todo caso, los principios constitucionales de igualdad, mérito y capacidad, así como el de publicidad."
Ley 7/1985 (LBRL) | Según el artículo 92.1 de la Ley 7/1985, de 2 de abril, ¿por qué normas se rigen los funcionarios al servicio de la Administración local en lo no dispuesto en dicha Ley? | Por la Ley 7/2007, de 12 de abril, del Estatuto Básico del Empleado Público, por la restante legislación del Estado en materia de función pública, así como por la legislación de las Comunidades Autónomas. | Por las Ordenanzas de personal aprobadas por el Pleno y supletoriamente por el Código de Comercio privado. | Por los convenios colectivos del sector público y las directrices emanadas de la Conferencia de Ciudades de forma preferente. | Por el Reglamento de Funcionarios Civiles del Estado de 1952 de manera exclusiva e inderogable. | A | El artículo 92.1 de la Ley 7/1985, de 2 de abril, estipula textualmente: "Los funcionarios al servicio de la Administración local se rigen, en lo no dispuesto en esta Ley, por la Ley 7/2007, de 12 de abril, del Estatuto Básico del Empleado Público, por la restante legislación del Estado en materia de función pública, así como por la legislación de las Comunidades Autónomas, en los términos del artículo 149.1.18.ª de la Constitución."
Ley 7/1985 (LBRL) | Conforme al artículo 92.2 de la Ley 7/1985, de 2 de abril, ¿cuál es la regla general sobre el desempeño de los puestos de trabajo en la Administración local y sus Organismos Autónomos? | Con carácter general, los puestos de trabajo en la Administración local y sus Organismos Autónomos serán desempeñados por personal funcionario. | Los puestos de trabajo serán desempeñados por personal contratado en régimen de derecho laboral común de forma preferente. | Los puestos serán desempeñados por personal eventual de confianza, salvo los reservados por la Ley del Suelo. | Los puestos de trabajo técnico-administrativos serán desempeñados por personal directivo con contrato mercantil. | A | El artículo 92.2 de la Ley 7/1985, de 2 de abril, establece de forma concisa y categórica: "Con carácter general, los puestos de trabajo en la Administración local y sus Organismos Autónomos serán desempeñados por personal funcionario."
Ley 7/1985 (LBRL) | De conformidad con lo establecido en el artículo 92.3 de la Ley 7/1985, de 2 de abril, ¿a qué personal corresponde exclusivamente el ejercicio de las funciones que impliquen la participación directa o indirecta en el ejercicio de las potestades públicas o en la salvaguardia de los intereses generales? | Corresponde exclusivamente a los funcionarios de carrera al servicio de la Administración local. | Corresponde al personal eventual que desempeñe puestos de confianza de las grandes áreas de gobierno. | Corresponde por igual a los funcionarios de carrera y al personal laboral fijo de la plantilla presupuestaria. | Corresponde exclusivamente al personal directivo que ostente titulación superior clasificada en el subgrupo A1. | A | El artículo 92.3 de la Ley 7/1985, de 2 de abril, prescribe: "Corresponde exclusivamente a los funcionarios de carrera al servicio de la Administración local el ejercicio de las funciones que impliquen la participación directa o indirecta en el ejercicio de las potestades públicas o en la salvaguardia de los intereses generales. Igualmente son funciones públicas, cuyo cumplimiento queda reservado a funcionarios de carrera, las que impliquen ejercicio de autoridad..."
Ley 7/1985 (LBRL) | Según regula el artículo 92 bis.1 de la Ley 7/1985, de 2 de abril, ¿qué funciones públicas necesarias están reservadas a funcionarios de administración local con habilitación de carácter nacional? | La de Secretaría, comprensiva de la fe pública y el asesoramiento legal preceptivo; y el control y la fiscalización interna de la gestión económico-financiera y presupuestaria, y la contabilidad, tesorería y recaudación. | La de representación institucional ante la Unión Europea y la de dirección general de las sociedades mercantiles locales. | La de inspección de espectáculos públicos, la expedición de licencias urbanísticas y la instrucción de multas de tráfico. | La de presupuestación ordinaria y la jefatura superior del personal de los organismos autónomos locales. | A | El artículo 92 bis.1 de la Ley 7/1985, de 2 de abril, detalla las funciones necesarias reservadas: "Son funciones públicas necesarias en todas las Corporaciones locales, cuya responsabilidad administrativa está reservada a funcionarios de administración local con habilitación de carácter nacional: a) La de Secretaría, comprensiva de la fe pública y el asesoramiento legal preceptivo. b) El control y la fiscalización interna de la gestión económico-financiera y presupuestaria, y la contabilidad, tesorería y recaudación."
Ley 7/1985 (LBRL) | A tenor del artículo 92 bis.2 de la Ley 7/1985, de 2 de abril, ¿en qué subescalas se subdivide la escala de funcionarios de administración local con habilitación de carácter nacional? | Secretaría, Intervención-tesorería y Secretaría-intervención. | Secretaría general del Pleno, Intervención de grandes poblaciones y Recaudación ejecutiva. | Fe pública institucional, Gestión presupuestaria y Asesoría jurídica superior. | Dirección administrativa, Tesorería de distritos y Contabilidad pública local. | A | El artículo 92 bis.2 de la Ley 7/1985, de 2 de abril, dispone taxativamente: "La escala de funcionarios de administración local con habilitación de carácter nacional se subdivide en las siguientes subescalas: a) Secretaría... b) Intervención-tesorería... c) Secretaría-intervención..."
