Confirmed.
Ley 7/1985 (LBRL) | De conformidad con lo establecido en el artículo 1.1 de la Ley 7/1985, de 2 de abril, Reguladora de las Bases del Régimen Local, ¿cómo se define a los Municipios dentro de la organización territorial del Estado? | Los Municipios son entidades básicas de la organización territorial del Estado y cauces inmediatos de participación ciudadana en los asuntos públicos, que institucionalizan y gestionan con autonomía los intereses propios de las correspondientes colectividades. | Los Municipios son corporaciones públicas secundarias delegadas por las Comunidades Autónomas para la gestión de servicios mínimos desconcentrados bajo tutela estatal. | Los Municipios son demarcaciones de carácter estrictamente administrativo, carentes de autonomía institucional y subordinadas a las directrices de la Provincia. | Los Municipios son Entidades Locales de adscripción potestativa cuya finalidad exclusiva es la ejecución forzosa de la normativa sectorial de las Islas. | A | El artículo 1.1 de la Ley 7/1985, de 2 de abril, dispone textualmente: "Los Municipios son entidades básicas de la organización territorial del Estado y cauces inmediatos de participación ciudadana en los asuntos públicos, que institucionalizan y gestionan con autonomía los intereses propios de las correspondientes colectividades."
Ley 7/1985 (LBRL) | Según el artículo 3.1 de la Ley 7/1985, de 2 de abril, ¿cuáles son las Entidades Locales territoriales en el ordenamiento jurídico español? | El Municipio, la Provincia y la Isla en los archipiélagos balear y canario. | El Municipio, las Comarcas, las Áreas Metropolitanas y las Mancomunidades de Municipios. | El Municipio, el Distrito, la Pedanía y las Mancomunidades de ámbito comarcal. | El Municipio, la Provincia, la Veguería y las Entidades de Ámbito Territorial Inferior al Municipio. | A | El artículo 3.1 de la Ley 7/1985, de 2 de abril, establece expresamente: "Son Entidades Locales territoriales: a) El Municipio. b) La Provincia. c) La Isla en los archipiélagos balear y canario."
Ley 7/1985 (LBRL) | A tenor del artículo 4.1 de la Ley 7/1985, de 2 de abril, ¿cuál de las siguientes potestades e inmunidades corresponde en todo caso a los municipios, provincias e islas en su calidad de Administraciones públicas territoriales? | Las potestades reglamentaria y de autoorganización, tributaria y financiera, expropiatoria y la inembargabilidad de sus bienes y derechos en los términos previstos en las leyes. | La potestad legislativa en materias de interés local, la potestad judicial interna y la inmunidad tributaria frente a los impuestos estatales. | Las potestades de gracia o indulto local, la potestad aduanera y la inembargabilidad absoluta de todos sus bienes sin excepción legal alguna. | La potestad de disolución de municipios colindantes y la potestad de alteración unilateral de los límites de la provincia. | A | El artículo 4.1 de la Ley 7/1985, de 2 de abril, enumera de forma tasada: "En su calidad de Administraciones públicas de carácter territorial, y dentro de la esfera de sus competencias, corresponden en todo caso a los municipios, las provincias y las islas: a) Las potestades reglamentaria y de autoorganización. b) Las potestades tributaria y financiera. c) La potestad de programación o planificación. d) Las potestades expropiatoria y de investigación, deslinde y recuperación de oficio de sus bienes. e) La presunción de legitimidad y la ejecutividad de sus actos. f) Las potestades de ejecución forzosa y sancionadora. g) La potestad de revisión de oficio de sus actos y acuerdos. h) Las prelaciones y preferences y demás prerrogativas reconocidas a la Hacienda Pública para los créditos de la misma... así como la inembargabilidad de sus bienes y derechos en los términos previstos en las leyes."
Ley 7/1985 (LBRL) | Según el artículo 7.1 de la Ley 7/1985, de 2 de abril, ¿cómo se clasifican las competencias de las Entidades Locales? | Las competencias de las Entidades Locales son propias o atribuidas por delegación. | Las competencias de las Entidades Locales son exclusivas, compartidas o concurrentes con las del Estado. | Las competencias de las Entidades Locales son potestativas, obligatorias o suplementarias. | Las competencias de las Entidades Locales son originarias, descentralizadas o desconcentradas por la Provincia. | A | El artículo 7.1 de la Ley 7/1985, de 2 de abril, establece de manera directa y concisa: "Las competencias de las Entidades Locales son propias o atribuidas por delegación."
Ley 7/1985 (LBRL) | De acuerdo con el artículo 7.2 de la Ley 7/1985, de 2 de abril, ¿cómo deben determinarse las competencias propias de las Entidades Locales territoriales y en qué régimen se ejercen? | Solo podrán ser determinadas por Ley y se ejercen en régimen de autonomía y bajo la propia responsabilidad. | Podrán ser determinadas por Ley o por Reglamento municipal y se ejercen bajo la tutela de la Comunidad Autónoma. | Se determinarán mediante convenio sectorial y se ejercen bajo la responsabilidad solidaria de la Provincia. | Solo se determinarán por Real Decreto del Gobierno y se ejercen en régimen de jerarquía orgánica administrativa. | A | El artículo 7.2 de la Ley 7/1985, de 2 de abril, prescribe literalmente: "Las competencias propias de los Municipios, las Provincias, las Islas y demás Entidades Locales territoriales solo podrán ser determinadas por Ley y se ejercen en régimen de autonomía y bajo la propia responsabilidad, atendiendo siempre a la debida coordinación en su programación y ejecución con las demás Administraciones Públicas."
Ley 7/1985 (LBRL) | Conforme al artículo 11.2 de la Ley 7/1985, de 2 de abril, ¿cuáles son los tres elementos esenciales constitutivos del Municipio? | El territorio, la población y la organización. | El término municipal, los vecinos y los presupuestos ordinarios. | El suelo urbanizable, el padrón y el Ayuntamiento en Pleno. | El territorio, los ciudadanos de la Unión Europea y el Alcalde. | A | El artículo 11.2 de la Ley 7/1985, de 2 de abril, determina de manera taxativa: "Son elementos del Municipio el territorio, la población y la organización."
Ley 7/1985 (LBRL) | A tenor del artículo 12 de la Ley 7/1985, de 2 de abril, ¿qué es el término municipal y cuál es su regla de pertenencia respecto a la provincia? | El término municipal es el territorio en que el ayuntamiento ejerce sus competencias y cada municipio pertenecerá a una sola provincia. | El término municipal es el núcleo de población donde reside el Alcalde y puede extenderse por más de una provincia limítrofe. | El término municipal es la superficie catastral sujeta a tributos locales y puede adscribirse transitoriamente a dos provincias. | El término municipal es el espacio geográfico delimitado por el Consejo de Estado y se subordina al Consejo Insular respectivo. | A | El artículo 12 de la Ley 7/1985, de 2 de abril, dispone en sus dos apartados de forma literal: "1. El término municipal es el territorio en que el ayuntamiento ejerce sus competencias. 2. Cada municipio pertenecerá a una sola provincia."
Ley 7/1985 (LBRL) | Según regula el artículo 13.1 de la Ley 7/1985, de 2 de abril, ¿qué trámites y dictámenes son preceptivos en todo caso para la creación o supresión de municipios, así como para la alteración de términos municipales? | Requerirán en todo caso audiencia de los municipios interesados y dictamen del Consejo de Estado o del órgano consultivo superior de los Consejos de Gobierno de las Comunidades Autónomas, si existiere, así como informe de la Administración que ejerza la tutela financiera. | Requerirán la autorización previa de las Cortes Generales mediante Ley Orgánica y la ratificación de los vecinos mediante referéndum local. | Requerirán informe vinculante de la Diputación Provincial y la aprobación del Ministerio del Interior mediante Real Decreto. | Requerirán la conformidad unánime de los Alcaldes de la provincia y dictamen del Tribunal Superior de Justicia. | A | El artículo 13.1 de la Ley 7/1985, de 2 de abril, exige taxativamente: "La creación o supresión de municipios, así como la alteración de términos municipales, se regularán por la legislación de las Comunidades Autónomas sobre régimen local, sin que la alteración de términos municipales pueda suponer, en ningún caso, modificación de los límites provinciales. Requerirán en todo caso audiencia de los municipios interesados y dictamen del Consejo de Estado o del órgano consultivo superior de los Consejos de Gobierno de las Comunidades Autónomas, si existiere, así como informe de la Administración que ejerza la tutela financiera."
Ley 7/1985 (LBRL) | A tenor del artículo 13.2 de la Ley 7/1985, de 2 de abril, ¿sobre qué base poblacional mínima puede realizarse la creación de nuevos municipios y qué condiciones de viabilidad se exigen? | Solo podrá realizarse sobre la base de núcleos de población territorialmente diferenciados, de al menos 4.000 habitantes y siempre que los municipios resultantes sean financieramente sostenibles. | Podrá realizarse sobre cualquier núcleo de población de al menos 1.000 habitantes, siempre que se apruebe por mayoría simple de la asamblea vecinal. | Solo podrá realizarse sobre núcleos de población de al menos 10.000 habitantes, previo informe del Instituto Nacional de Estadística. | Podrá realizarse sobre núcleos de población diferenciados de 2.000 habitantes, siempre que no genere incremento de impuestos forales. | A | El artículo 13.2 de la Ley 7/1985, de 2 de abril, introducido para racionalizar la planta local, determina: "La creación de nuevos municipios solo podrá realizarse sobre la base de núcleos de población territorialmente diferenciados, de al menos 4.000 habitantes y siempre que los municipios resultantes sean financieramente sostenibles, cuenten con recursos suficientes para el cumplimiento de las competencias municipales y no suponga disminución en la calidad de los servicios que venían siendo prestados."
Ley 7/1985 (LBRL) | Conforme al artículo 15 de la Ley 7/1985, de 2 de abril, ¿quién constituye la población de un municipio y cómo se denominan sus integrantes inscritos en el Padrón municipal? | El conjunto de personas inscritas en el Padrón municipal constituye la población del municipio, y los inscritos son los vecinos del municipio. | El conjunto de españoles residentes en el término municipal constituye la población, y los que paguen el IBI son los vecinos. | Los ciudadanos con derecho a sufragio activo constituyen la población, y los nacidos en el término municipal son los vecinos. | Las personas con residencia legal superior a cinco años constituyen la población, y los empadronados permanentes son los comuneros. | A | El artículo 15 de la Ley 7/1985, de 2 de abril, aclara estos conceptos legales señalando: "Toda persona que viva en España está obligada a inscribirse en el Padrón del municipio en el que resida habitualmente... El conjunto de personas inscritas en el Padrón municipal constituye la población del municipio. Los inscritos en el Padrón municipal son los vecinos del municipio."
Ley 7/1985 (LBRL) | Según lo establecido en el artículo 16.1 de la Ley 7/1985, de 2 de abril, ¿de qué constituyen prueba los datos del Padrón municipal y cada cuánto tiempo debe renovarse la inscripción de extranjeros sin autorización de residencia de larga duración no comunitarios? | Sus datos constituyen prueba de la residencia en el municipio y del domicilio habitual en el mismo, y deberá ser objeto de renovación periódica cada dos años. | Sus datos constituyen prueba plena de la nacionalidad y de la residencia legal, y deberá renovarse anualmente. | Sus datos constituyen prueba presuntiva del estado civil de las personas, y se renovará de forma obligatoria cada cinco años. | Sus datos constituyen prueba del derecho a usar los pastos comunales, y se renovará semestralmente por el Alcalde. | A | El artículo 16.1 de la Ley 7/1985, de 2 de abril, define la eficacia del Padrón: "El Padrón municipal es el registro administrativo donde constan los vecinos de un municipio. Sus datos constituyen prueba de la residencia en el municipio y del domicilio habitual en el mismo... y, en todo caso, deberá ser objeto de renovación periódica cada dos años cuando se trate de la inscripción de extranjeros sin autorización de residencia de larga duración, no pertenecientes a un Estado miembro de la Unión Europea..."
